<1>	(0.000-1.808)	<no-speech>	<no-speech>
<2>	(1.808-4.380)	hindi pahinga kung hindi trabaho agad .	not resting but working immediately .
<3>	(4.380-12.830)	ito ang ginawa ng ating top eight world mayor na si Mayor Edgardo Pamintuan sa kaniyang pagbabalik mula sa Estados Unidos .	this is what our top eight world mayor Mayor Edgardo Pamintuan did upon his return from the United States .
<4>	(12.830-28.370)	noong nakaraang buwan ay nagtungo ang ating world mayor sa Estados Unidos upang inspeksiyunin ang mga ipapadalang bagong medical equipments para sa ating soon to be established cardiac center at cancer treatment sa ating ospital ni Angeles .	last month our world mayor went to the United States to inspect new medical equipment that will be sent for our soon-to-be established cardiac center and cancer treatment in our hospital in Angeles .
<5>	(28.370-38.997)	ayon kay <sta> mayor Ed Pam partial pa lamang ang kanilang mga dinala at asahan ng mga Angeleños ang mga dagdag na kagamitan sa ospital sa mga darating na panahon .	according to mayor Ed Pam what they brought was just partial and Angeleños should expect additional hospital equipment in the future .
<6>	(38.997-48.870)	nagpapasalamat din siya sa kaniyang kaibigang doctor na si doctor Rey Franco na siya ding tutulong at magiging consultant sa ating ospital .	he also thanks his doctor friend Doctor Rey Franco who will also help and become a consultant in our hospital .
<7>	(48.870-57.290)	sa kaniyang two weeks stay doon pinapurihan siya ng ating mga kababayan dahil sa patuloy na nakakamit na progreso ng ating siyudad .	in his two weeks stay there our fellowmen commended him because of the continued progress achieved by our city .
<8>	(57.290-63.620)	<foreign> (()) .	<foreign> (()) .
<9>	(63.620-70.640)	lahat po ng suporta na kailangang ibigay nakita ko sa mga Pilipino lalong-lalo na 'yung mga Kapampangan .	all of the support that must be given I saw in Filipinos especially with the Kapampangan .
<10>	(70.640-80.493)	lalo na 'yung sa Carson city (()) may monumento si Jose Rizal .	especially in Carson City (()) there is a monument of Jose Rizal .
<11>	(80.493-104.470)	pagkatapos eh <hes> iyon po ang grupo ng (()) na every year (()) (()) at <hes> do'n po ay naghandog sila ng pera para sa nakikita nilang development dito 'yung mga (()) three thousand dollars .	after well that is the group of (()) who every year (())(()) and there they offer money to the developments they see here the (()) three thousand dollars .
<12>	(104.470-113.977)	samantala maliban sa ating cardiac <sta> center at cancer treatment <sta> ipinagmalaki din ng ating Mayor ang kaniyang mga ibang plano para sa ating siyudad .	meanwhile aside from our cardiac center and cancer treatment our mayor also boasted of his other plans for our city .
<13>	(113.977-122.646)	ilan sa mga ito ay ang pagpapatayo ng public cemetery at pagsasagawa ng isang command center <sta> bago matapos ang kaniyang termino .	some of these are construction of a public cemetery and creation of a command center before his term is over .
<14>	(122.646-124.652)	ito po si Gloria Antomin para ~ %incomplete	this is Gloria Antomin for %incomplete
