<1>	(0.000-4.889)	<sta> dalawang araw na pong <hes> nanahimik si secretary Ronald Llamas .	it has been two days since Ronald Llamas has been silent .
<2>	(4.889-9.642)	at <hes> sabagay mahirap namang ubusin 'yung walong <hes> <overlap> <sta> walumpung D_V_D .	and as a matter of fact it's hard to finish the eight eighty D_V_Ds .
<3>	(9.642-12.120)	<sta> <overlap> sabi nga marathon -- marathon 'yan .	as they say marathon -- that is a marathon .
<4>	(12.120-26.268)	<sta> mara- -- marathon hindi 'yung <laugh> kinukuwento ko kanina senator ha may nagbanggit sa 'kin kahapon <sta> na <hes> close friend din ni secretary Llamas <sta> hindi po dating kongresista itong tinutukoy ko ha <sta> <overlap> at lalaki po itong <hes> aking tinutukoy .	marathon not what I was telling you senator earlier okay it was mentioned to me yesterday that it's a close friend of Secretary Llamas I'm not talking about someone from the congress and I'm talking about a guy .
<5>	(26.268-43.193)	<sta> 'yung close friend <overlap> ni secretary Llamas ang sabi niya <hes> senator at kumpaniyero <sta> talaga daw si secretary Llamas ay <hes> kuwan yu- -- 'yung binanggit mo kanina down to earth <overlap> at in fact 'yung dalawa daw kasama <sta> ni secretary Llamas 'nong Linggo <overlap> yu- -- 'yung tinatanong napanood na ba natin 'to ?	he said the close friend of Secretary Llamas Secretary Llamas is really a senator and colleague the one you mentioned earlier down to earth and in fact the two companions of Secretary Llamas on Sunday -- the one being asked have we seen this ?
<6>	(43.193-45.760)	<overlap> anak daw niya 'yon .	that's his child .
<7>	(45.760-65.688)	<sta> <overlap> dalawang anak niya talagang <hes> one oh <hes> -- once a month <sta> eh namam- -- parang namamakyaw -- parang namamakyaw dahil <hes> 'yon ang paraan ng pag-bo-bonding ng pamilya <sta> 'yung panonood ng <hes> -- ng <hes> D_V_D <overlap> sa halip na iutos sa mga <sta> <overlap> driver sa bodyguard eh sila mismo 'yung pumupunta sa mga ganyang lugar <overlap> 'yon 'yung -- 'yon 'yung isang side no'n .	his two children really one oh -- once a month -- it's like they buy bulk -- it's like they buy bulk because it's the family's way of bonding watching D_V_D instead of asking the driver and bodyguard they go to those places themselves that's -- that's one side of that .
<8>	(65.688-83.411)	<sta> kaya lang sa kabilang banda nga <sta> eh kung ang sinasabi ng Optical Media Board ay <sta> <hes> kahit nahuli mo sa akto na namimili ng pirated D_V_D si secretary Llamas eh <overlap> walang nalalabag na batas <overlap> walang nalalabag na batas hindi mo puwedeng hulihin <sta> <overlap> eh di mamili na tayo hali kayo hali kayo mamili na tayo ng mga pirated D_V_D <overlap> gano'n -- gano'n pala 'yon senador Alex ?	however on the other side what the Optical Media Board is saying is even if you catch Secretary Llamas buying pirated D_V_D in action he's not violating any law you can't just take them so come let's just buy D_V_D is that it Senator Alex ?
<9>	(83.411-94.470)	<overlap> ay <overlap> I'm -- I'm sure naman siguro sabi nga binanggit nga ni ka Tunying kanina sa D_Z_M_M na <sta> itaas ang mga kamay kung sino ang hindi nakabili ng mga D_V_D .	I'm -- I'm sure maybe it was even mentioned by Tunying earlier in D_Z_M_M to raise your hands if you haven't purchased D_V_Ds .
<10>	(94.470-101.520)	<sta> ako aminin ko sa inyo ha 'pag kasama ko 'yung mga tsikiting ko ma- -- mapuwepuwersa ka rin eh sasabihin nila papa gusto ko itong ano oh .	I'll tell you honestly that when I'm with my children I'll be forced as well when they tell me Papa I want this .
<11>	(101.520-110.501)	wala kang magagawa gusto ng <overlap> lalapitan ka ng mga halimbawa naka-park ka lalapitan ka ng mga kuwan eh tapos eh boss <hes> kuwan lang pambuena mano .	you can't do anything when someone approaches you for example while parking someone approaches you and tells you boss just for my first sale .
<12>	(110.501-116.840)	oh at kung kinakabahan ka senator Alex na baka ikaw ay hulihin kapag ikaw eh bumibili eto babasahin ko sa 'yo .	oh and if you're nervous Senator Alex to get caught while you are buying here I'll read this to you .
<13>	(116.840-124.673)	the purchase of pirated D_V_Ds not used for commercial activities does not entail a liability .	the purchase of pirated D_V_Ds not used for commercial activities does not entail a liability .
<14>	(124.673-131.330)	<sta> kung hindi mo din lang ibebenta ang bibilhin mong pirated D_V_D ay wala kang pananagutan .	if you won't sell your purchased pirated D_V_D you have no liability .
<15>	(131.330-137.340)	<overlap> 'yan po ang sinasabi ng batas sabi ni attorney Coco Padilla <overlap> .	that's what the law says said Attorney Coco Padilla .
<16>	(137.340-148.702)	naku ewan ko <overlap> kaya siguro it's about time siguro 'no na rebisahin siguro <hes> dagdagan ng <hes> kunyari amendment na para maganda 'yung kampanya ng O_M_B 'di ba ?	oh my I don't know perhaps it's about time to revise add maybe an amendment for the O_M_B campaign to improve right ?
<17>	(148.702-154.150)	laban tayo ng mga -- mga pirata <sta> eh kaso mahina naman pala 'yung batas natin wala rin .	we're against -- pirates but because our law is apparently weak it's also useless .
<18>	(154.150-166.924)	<sta> eh but that -- but that is not the priority of the president <overlap> ibig sabihin <sta> baka maaaring makatulong pa itong pangyayari ito kay secretary Ronald Llamas para maiayos talaga ang kampanya laban sa piracy .	but that -- but that is not the priority of the president which means this incident might even help Secretary Ronald Llamas to really fix the campaign against piracy .
<19>	(166.924-171.556)	<sta> dahil totoo naman eh wala naman nangyayari talaga eh ami- -- sa aminin natin at sa hindi walang nagyayari .	because it is really true nothing is really happening -- let us admit that and not because no one is doing it .
<20>	(171.556-172.804)	<sta> lalo pang- -- dumadami .	it's getting -- numerous .
<21>	(172.804-178.551)	<sta> habang nanghuhuli ng -- ang O_M_B <sta> eh mukhang lalong dumadami ang mga pirated D_V_Ds .	while arresting the -- the O_M_B so but it seems the pirated D_V_Ds have multiplied .
<22>	(178.551-182.470)	<sta> ay naku eh hindi po 'yan <hes> priority ng pangulo wala wala wala .	oh geez so not that the priority of the president nothing nothing nothing .
<23>	(182.470-184.879)	<sta> marami akong -- busy ako parang gano'n ang dating .	I have many -- I am busy it appears like that .
<24>	(184.879-185.429)	ah wala wala .	ah nothing nothing .
