<1>	Pronouncements vs.	pronouncements versus
<2>	body language	body language
<3>	DURIAN SHAKE Ni Edith R. Regalado	Durian shake by Edith R. Regalado
<4>	Naging matunog na ang bali-balitang may posibilidad na tatakbo si Davao City Mayor Rodrigo Duterte sa pagkapangulo sa darating na 2016 national elections.	the rumor that Davao City Mayor Rodriguo Duterte will possibly run for president in the coming 2016 national elections has been spreading.
<5>	Ngunit ito ay ilang ulit na ring idiniin ni Duterte na wala siyang balak, hindi siya interesado at hindi siya kwalipikado maging pangulo ng bansa.	but Duterte has repeatedly emphasized he has no plans, he is not interested, and he is not qualified to become the president of the country.
<6>	Sa bawat panayam niya sa media ay sinasabi niyang ayaw niya at wala talaga siyang planong tumakbo bilang pangulo.	in every interview he has with the media, he says he does not want and he really has no plans to run for president.
<7>	Ito ay sa kabila ng pagpupumilit ng ilang indibidwal at maging mga organisasyon na umuudyok sa kanya na patakbuhin siya.	this is despite of the persistence of some individuals and organizations persuading him to run.
<8>	Ngunit sa kabila ng kanyang pronouncements iba naman ang sinasabi ng body language ni Duterte.	but in spite of his pronouncements, Duterte's body language says otherwise.
<9>	Iba na ang naging gawain ni Duterte nitong mga huling araw.	Duterte's work has been different these past few days.
<10>	Kung dati hindi gumising ng maaga si Duterte, ngayon ay pinupuntahan na niya ang mga maagang engagements.	Duterte now goes to early engagements whereas before he does not wake up early.
<11>	At kung dati hindi naman niya tinatanggap ang mga speaking engagements, ngayon ay laman na si Duterte ng halos lahat ng national conventions dito at sa iba pang bahagi ng bansa.	if before he does not accept speaking engagements, now Duterte attends almost all national conventions here and in different parts of the country.
<12>	At himala na ring tinanggap ni Duterte ang imbitasyon ng militar at maging ng Philippine National Police na maging speaker siya sa kanilang mga events sa Camp Aguinaldo at Camp Crame.	and it is a miracle that Duterte accepted the invitation of the military and even the Philippine National Police to be a speaker in their events in Camp Aguinaldo and Camp Crame.
<13>	Ano nga ba talaga Mayor Duterte? Tatakbo ka ba o hindi?	what is it really, Mayor Duterte? will you run or not?
<14>	Di bale na, may ilang buwan na lang at October 2015 na. Ito ang takdang panahon upang mag-file ng certificate of candidacy ang sino mang may balak tumakbo sa mga national offices gaya ng president at vice president.	never mind, October 2015 is just a few months away. this is the time given to file the certificate of candidacy of those who have plans to run for national offices such as the president and the vice-president.
<15>	At sa pagdating ng takdang panahon malalaman din kung ano ang plano ni Duterte. Kung tatakbo ba siya sa pagkapangulo o hindi.	and when the time comes, Duterte's plans will be known. whether he will run for president or not.
