<1>	TINARANTADO ANG BOSS!	betrayed the boss!
<2>	TAYO ang boss ni Pangulong Noynoy Aquino, ‘yan ang pagkakaalam ko.	we are the boss of President Nonynoy Aquino, that's what I know.
<3>	Dahil ‘yan ang kanyang paulit-ulit na sinasabi!	because that's what he keeps saying.
<4>	Kaya nga, umasa tayo, parekoy, na bilang boss ni PNoy ay susunod siya sa ating mga payo, utos at puna.	that is why we expect, brother, that as boss of PNoy, he'll follow our advice, requests, and comments.
<5>	At siyempre, sinomang tumarantado sa kanyang mga boss ay parang si PNoy na rin ang tinarantado.	and of course, whoever betrays their boss would seem like they betrayed PNoy as well.
<6>	Pero kung susuriin ang mga kaganapan ngayon, iba ang aking nararamdaman.	but if we investigate on the events now, I feel something different.
<7>	Dahil tinatarantado na tayo ng kanyang mga alipores pero dedma lang si PNoy.	because were were already betrayed by his people, but PNoy was just neglectful.
<8>	Kinakawawa na ang kanyang mga boss pero wa-epek lang kay PNoy.	his bosses are being stepped all over, but it doesn't affect PNoy.
<9>	Nag-iisip tuloy si, parekoy, totoo nga ba na tayo ang boss ng Pangulo?	it got me thinking, are we really the boss of the President?
<10>	O, sa simula pa lang ay talagang tsinubibo lang niya tayo at pilit pinaniwala sa kasinungalingan?	or even from the start, we were just deceived and led to believe a lie?
<11>	Pansinin natin.	let's notice it.
<12>	Nangako si Energy Sec. Jericho Petilla na kung hindi niya maibabalik ang kuryente hanggang noong Pasko sa mga lugar na sinalanta ni Yolanda ay magre-resign siya.	Energy Secretary Jericho Petilla promised that if he can't bring back the electricity to the victims of Yolanda until last Christmas, he'll resign.
<13>	Kaya naman, nang hindi matupad ang kanyang ipinangako ay nagbitiw nga si Petilla bilang pag-amin na siya ay palpak, sinungaling at walang kakayahang gumanap sa tungkulin.	that is why, when his promise wasn't made, Petilla indeed resigned and admitted that he's a failure, liar, and has no ability to do his job.
<14>	Pero ano ang ginawa ni PNoy rito sa taong palpak at nagsinungaling sa taumbayan?	but what did PNoy to this person who lied to the people?
<15>	Hindi tinanggap ang resignation ni Petilla!	didn't accept the resignation of Petilla!
<16>	Ang hinayupak naman na kapalmuks na Petilla ay hindi “irrevocable resignation” ang ginawa!	this animal and thick-faced Petilla didn't even make an "irrevocable resignation!"
<17>	Pwe!	pwe!
<18>	Heto pa.	there's more.
<19>	Sa mga pagnanakaw sa pera ng kanyang mga boss kung saan pineke ang mga SARO ng Department of Budget and Management, pinaimbestigahan kunwari ni PNoy.	in stealing money from his boss where SARO of Department of Budget and Management was faked, PNoy pretended to have it investigated.
<20>	Pero nang lumabas ang resulta, “driver at janitor” ang pinalitaw na nagkutsabahan umano sa nabanggit na milyones na katarantaduhan!	but when results came out, it were "driver and janitors" believed to have colluded in the millions anomaly!
<21>	Sa matinong pag-iisip, maliwanag, parekoy, na ginagago tayo dahil imposible na driver lang at janitor ang gagawa ng ganito kalaking katiwalian!	in a right mind, it's clear that we're being betrayed because it's impossible for a driver and a janitor to do this big of an anomaly.
<22>	Pero pakiramdaman ninyo, tahimik lang si PNoy!	but feel it, PNoy is just quiet!
<23>	Mas matindi.	even worse.
<24>	Ang mga boss ng Pangulo na kinawawa ni Yolanda ay pilit humawak sa pangako na igagawan sila ng “bunkhouses” para sa pansamantalang masisilungan habang unti-unting bumabangon mula sa trahedya.	the bosses of the president who were stepped all over by Yolanda continue to hold on to the promise that they will be built "bunkhouses" for temporary shelter while they're slowly recovering from the tragedy.
<25>	Pero ang ipinagawa sa kanila ni DPWH sec. ay hindi tirahan ng tao.	but what DPWH secretary built for them weren't houses for people.
<26>	Kundi mistulang mga kulungan ng hayop!	but in fact, a cage for animals!
<27>	Biruin mo, ang “bunkhouses” na titirahan ng buong pamilya ng mga kawawang biktima ay napakasisikip kumpara sa pinatirahan ngayon sa mandarambong na si Napoles!	look how "bunkhouses" lived in by whole families, who are sadly victims, are very small compared to where that traitor Napoles lives in.
<28>	King-inaaaa!	king-inaaaa!
<29>	Heto pa ang pinakamasaklap parekoy.	this is what's worse.
<30>	Personal na nagpahayag ang Pangulo na mula ngayon ay hindi na niya papansinin ang mga puna (at payo?) ng kanyang mga boss!	the President personally stated that from now on, he won't mind the comments (and advice?) of his bosses!
<31>	Meganun?	is there such a thing?
