<1>	Walang Hintong Dalamhati	never ending grief
<2>	Hindi lilitaw ang bahaghari kung walang ulap at bagyo.	the rainbow is not going to surface without clouds and storm.
<3>	Kailanman na mapansin ang sarili na nalulumbay sa mga kapighatian, ito ay tanda ng mga kabiguang emosyonal.	whenever you'll notice yourself lonesome in grief, this is a sign of emotional failure.
<4>	Pinahihirapan nito ang budhi sa mga kamaliang nagawa na walang kapatawaran, mga pangarap na nausyami na hindi nagawang tapusin, at mga pangungusap na hindi nakayang sambitin.	the conscience is being oppressed with the mistakes done without forgiveness, dreams which have been postponed that can no longer be finished, and sentences which can no longer be uttered.
<5>	Kung ang karaniwang kasalanan ay may hatid na luha, ang dalamhati ay may nakalulunos na hagulgol.	if an ordinary mistake comes with a tear, grief has a pitiable wail.
<6>	Habang nasa tabi mo lamang, ito ay pinababayaan; subalit kapag nawala at lumisan, ito ay inaalaala at hindi malimutan.	while still just by your side, this is being neglected; but if gone and left, this is being remembered and will never be forgotten.
<7>	Bagay na hindi mo minahal at pinabayaan, ikaw ay iiwanan.	a thing that you have not loved and neglected, you will be left behind.
<8>	Kung ikaw ay sadyang tamad na mag-isip, walang pagsisikhay at makupad na makagawa ng kaibahan, may karuwagan na tanggapin ang katotohanan, kailanman ay hindi mo matatamo ang kawatasan at kaligayahang inaasam-asam mo.	if you are consciously lazy to think, no zeal and slow in making change, has cowardice in accepting the truth, you cannot achieve the poetry and happiness that you are anticipating in any time.
<9>	May dalawa tayong tainga at isang bibig; patunay na kailangan nating makinig nang mabuti at magsalita nang bahagya.	we have two ears and a mouth; evidence that we need to listen carefully and speak slightly.
<10>	Sa isang matiwasay na tahanan, ang namamayani ay tilaok at hindi putak.	in a peaceful home, a croak not cackle reigns.
<11>	May kakayahan ang mga hayop na nakakahigit kaysa atin –hindi nila alam ang Paraiso at Impiyerno.	animals have abilities which are better than us - they do not know paradise and hell.
<12>	Anumang sabihin mo sa kanila, wala silang pakialam at panahon para seryosohin at personalin ang mga bagay na ito.	whatever you tell them, they do not have care and time to be serious and take these things personally.
<13>	At kapag sila ay nagagalak at tuwang-tuwa, ang iginagalaw nila ay ang buntot at hindi ang dila upang bilugin ang ulo mo.	and when they are delighted and very happy, they are moving their tails and not tongues to make a fool out of your head.
<14>	Ang paraan upang higit kang magmahal, ay tanggapin ang katotohanan na ang lahat ay panandalian lamang, at sa anumang sandali ito ay matatapos.	a way for you to love more is to accept the truth that everything is only transient, and at any moment this is going to end.
<15>	Walang katiyakan ang buhay, kung hindi mo ito papahalagahan, iiwanan ka nito na tigib ng panghihinayang at kapighatian.	life has no certainty, if you are not going to give importance to it, this will leave you full of regret and grief.
<16>	Sa pag-aasawa, piliin ang babae na papakasalan bilang matalik na kaibigan na tila siya ay naging lalake.	in getting married, choose the woman you are going to marry as a close friend as if she has been a male.
<17>	Dahil kung mabuti ang iyong asawa, uliran ang inyong pagsasama.	because if your spouse is good, your life together is exemplary.
<18>	At kung masama naman at bungangera ang iyong asawa, magiging pilosopo ka ng buhay.	and if your spouse is evil and a nagger, you are going to be a philosopher of life.
<19>	Ang madalas na kasiyahan ang hatid ay kaligayahan.	usual pleasure brings happiness.
<20>	Ang madalas na pighati ang hatid ay dalamhati.	usual sorrow brings grief.
