<1>	Hintuan na!	stop!
<2>	Habang patuloy na nagagalit, ay patuloy ding pinarurusahan mo ang iyong sarili.	while continuing to be angry, you also continue to punish yourself.
<3>	Ang panatilihin ang pagkagalit ay katulad ng pagsambot sa nagbabagang uling na may intensiyong ipukol ito sa kinagagalitan; ikaw mismo ang napapaso at tuluyang masusunog.	maintaining anger is like catching red-hot coal with the intention of throwing it to the one you are angry with; you yourself are scalded and eventually will burn.
<4>	Problema na huwag nang problemahin pa, sa halip gawan ito ng solusyon.	a problem that should not be bothered with anymore, instead create a solution for it.
<5>	Ang problema ay hindi pinag-uusapan, kundi ginagawan ito ng solusyon.	a problem is not talked about, but made a solution for.
<6>	Ang wastong paraan ay iparating sa mga kinauukulan, ang anumang nagpapagalit o lumiligalig sa iyo.	the right way is to inform the concerned, anything that angers or troubles you.
<7>	Habang pinapasan mo ang bigat nito, lalo kang mahihirapan, at sa kalaunan ay siyang magpapahamak sa iyo.	while you are carrying its weight, you are troubled further, and eventually it will harm you.
<8>	Kung wala kang pakialam sa mga kaganapan sa iyong kapaligiran, katibayan lamang ito na tinatanggap mo at may pahintulot ka sa mga karahasan, mga kabuktutan, at mga kababuyang nagaganap.	if you have no concern about the happenings in your surroundings, it is only proof that you have accepted and allow the violence, the corruption, the immorality happening.
<9>	Dahil kung sadyang nagagalit ka, ilalantad mo ito at tahasang ipapahayag ang tunay mong saloobin.	because if you are truly angered, you will reveal it and boldly announce your real sentiment.
<10>	Anumang bagay na nais mo ay makakagawa ka ng maraming paraan, at kung ito naman ay hindi mo gusto, ay marami kang magagawang kadahilanan.	for whatever you want you can find many ways, and if it is something you do not like, you can make many excuses.
<11>	Anupa't makikilala ka sa iyong mga gawa, at hindi sa iyong winiwika.	so you will be known for your actions, and not for your words.
<12>	Madali ang magsalita at magbitaw ng mga pangungusap, subalit ang higit na may batayan ay nasaan ka noong kailangan ka ng bayan?	it is easy to speak and deliver sentences, but what has more ground is where were you when your country needed you?
<13>	Nasa harap ng telebisyon at may artistang kinababaliwan.	in front of the television and crazy over an actor.
<14>	Basketbol ang libangan at pulitika ang aliwan.	pastime is basketball and entertainment is politics.
<15>	Hindi naman kataka-taka na ikaw ay mapag-iwanan at magalit kapag nasa kahirapan.	it is not surprising that you are left behind and angered when in difficulty.
<16>	Gayong ang nararapat na sisihin ang iyong pagiging makasarili at walang katuturan sa mga taghoy at panawagan ng iyong bayan!	whereas what should be blamed is your selfishness and lack of answer to the laments and calls of your country!
<17>	Ano ba ang ikina-iinggit at ikinagagalit mo?	what are you jealous and angry about?
<18>	Ang tagumpay ng iba o ang mga kabiguan mo?	the success of others or your own failures?
