<1>	Sumama sa Agos	go with the flow
<2>	Pawalan at hayaan, nang may kalabasan. . . Subalit kapag pinakialaman at sinubukan nang sinubukan,	let go and let it be, so there will be a result ... but if you meddle with it and tried over again,
<3>	wala itong kakahinatnan.	this is pointless.
<4>	Naranasan ko na ito, kapag nakasakay ka sa isang balsa at tinatangay ito ng malakas na agos at ikaw ay nahulog, huwag mong kalabanin ang ragasa ng agos, kundi ang tumihaya nang tuwid, magpalutang, at magpatianod, sumikad at ikampay ang mga kamay at sumabay sa agos, dadalhin ka nito sa tahimik na lugar para sa iyong kaligtasan.	I have already experienced this, when you're riding a raft and it is carried away by the current and you fell, don't resist the rush of the current, instead lie straight on your back, float and allow to be carried away, kick and swing your hands and go with the flow, this will bring you to a silent place for your safety.
<5>	Subalit kung aagsaw at walang habas kang magkakampay at magsisikad, nilalabanan mo ang matuling agos.	but if you relentlessly swing your arms and kick, you are resisting the fast current.
<6>	Sa katagalan, ay papanawan ka ng lakas at hahampas pa sa batuhan.	in the long run, you will be deprived of strength and even hit the rocks.
<7>	Ito ang magpapahamak sa iyo; ang masugatan at mawalan ng ulirat upang malunod.	this will cause you harm; to be wounded and lose consciousness to drown.
<8>	Ganito din ang pagtahak sa buhay, maraming mabigat na mga bagay o sitwasyon ang walang simpleng kasagutan o kalunasan.	this is also how life is explored, there are many heavy things or situation with no simple answer or solution.
<9>	Kailangang hayaan natin ang panahon ang siyang magtakda nang ikakalutas nito.	we need to let time set the solution.
<10>	Mahalaga na tanggapin natin ang katotohanan na wala tayong magagawa sa mga bagay na wala tayong kinalaman at walang katiyakan.	it is important that we accept the truth that there is nothing we can do with things that don't concern us and are uncertain.
<11>	Sa halip, umasam tayo na ang lahat ay mga pagpapala at patungo sa kabutihan ng lahat.	instead, let us long for everyone to have blessings and on the path of good for everyone.
<12>	Walang nakakaalam kung bakit ang isang bagay o sitwasyon ay nagaganap sa ating buhay.	nobody knows why a thing or situation happens in our life.
<13>	Kung ito ay isang pagpapala o isang sumpa, ang tangi lamang nakakaalam ay ang Dakilang Manlilikha.	if this is a blessing or curse, the only one who knows is the great creator.
<14>	Manatiling bukas ang isipan sa buhay, dahil kusa at patuloy nitong isinisiwalat and nakatakda mong buhay.	keep an open mind in life, because it deliberately and continuously reveals your fate.
<15>	Ito ang susi upang maging payapa sa kabila ng mga nagngangalit na daluyong na ipinupukol sa iyo ng tadhana.	this is the key to be at peace amidst the furious surge that is thrown at you by fate.
<16>	Kapag naharap ka sa isang seryosong problema na wala kang kontrol at kakayahan, ang matalinong paglutas dito ay magpatianod sa agos.	if you are faced with a serious problem beyond your control and ability, the wise solution here is to get carried away by the current.
