<1>	Pambihira Ka	you're extraordinary.
<2>	Ipahayag ang iyong kaibahan at mga talento; at kung nagagawa mo ito, may pagtitiwala ka sa iyong sarili na pambihira ka at talagang kakaiba.	express your uniqueness and talents; and if you are able to do this, you have trust in yourself that you are extraordinary and really different.
<3>	Maging matapat sa sarili, at ang pinakamahalaga \-- paniwalaan lamang ang katotohanan.	be honest to yourself and most importantly, believe only the truth.
<4>	Hindi hilaw o hindi kapos.	not raw or not short.
<5>	Walang kulang at wala ring labis.	not inadequate and also not in excess
<6>	Walang dumi, puwing o munti mang bahid.	no dirt, speck, or even a tiny mark.
<7>	Kundi yaon lamang wagas at sakdal na katotohanan.	but only which is pure and perfectly true
<8>	Sapagkat dito nasasalamin kung sino ka at ang tinataglay mong pagkatao.	because this is where it mirrors who you are and the character you possess.
<9>	Narito ang iyong integridad at iniingatang reputasyon.	here is your integrity and well-cared-for reputation.
<10>	Kung wala ito sa iyo, bahagi ka ng mga naliligaw ng landas at nagpapahirap sa lipunan na iyong ginagalawan.	if this is not within you, you are part of those who have gone astray and a burden to the society you are a part of.
<11>	Sa halip na solusyon, isa ka pang karagdagan sa problema.	instead of a solution, you even add to the problem.
<12>	Kung nais na maging uliran ang pagkatao, mahalaga para sa iyo na alamin at pakalimiin ang munting tinig na patuloy na nag-uutos sa iyo.	if you want to have an exemplary character, it is important for you to find out and heed the tiny voice that constantly commands you.
<13>	Ito ang pangunahin mong kritiko; mapagpuna, mapamintas, at mapanisi.	here is your primary critic; critical, faultfinder and reproachful.
<14>	Punong-puno ito ng naglalaban na mga opinyon, at kung wala kang pakialam at palasunod sa anumang isipan na kumakatawan dito, wala kang kontrol o anumang pagsupil sa kakahinatnan nito.	it is packed with conflicting opinions, and if you are indifferent and conforming to any idea that it represents, you don't have control or any suppression on the outcome.
<15>	Magsisi ka man ay huli na.	it is too late even if you regret it.
<16>	Mayroon ang bawa’t isa sa atin ng kapangyarihan na pumili.	each of us has the power to choose.
<17>	At ang piliin ang tama kaysa ang mali.	and choose right over wrong.
<18>	Dangan nga lamang, bihira natin itong ginagamit.	however, we rarely use it.
<19>	Sa tuwing nasa panganib na tayo at wala nang magagawa pa, doon lamang natin ito inaapuhap upang magpasiya.	every time we are in danger and hopeless, that is only where we fumble to decide.
<20>	Gayong may sapat tayong panahon para paghandaan at maiwasan ang anumang kapahamakan na darating.	when we actually have enough time to prepare and avoid any imminent danger.
<21>	Kadalasan, ang nagpapahirap na makagawa ng tama ay ang katigasan ng kapalaluan.	often times, what makes it difficult to do the right thing is the stubbornness of pride.
<22>	Kahit na mali ay ipinagpipilitan, maipakita lamang na may isang salita at paninindigan.	insisting even if it's wrong just to prove that you have word of honor and stand.
<23>	Walang saysay ito at hungkag na pakitang tao, kahit na ang isinisigaw ng puso ay magpakumbaba at tanggapin ang kamaliang nagawa.	this is useless and hollow hypocrisy, even if the heart shouts for humility and acceptance of wrongdoing
<24>	Lahat tayo ay nagkakamali, kaya nga nilikha ang lapis na may pambura.	we all make mistakes, that is why a pencil was created with an eraser.
<25>	Ang mainam sa lahat, aminin ang kamalian upang ito ay malunasan.	best of all, accept the mistake so it can be rectified.
<26>	Hangga’t itinatago at pinagtatakpan, tumitindi lalo ang mga kasalanan.	for as long as it is hidden and covered up, the sin only intensifies.
<27>	Dahil ayaw nating mapintasan, nagiging bulag tayo sa mga pagkakataong nasa ating harapan.	because we don't want to be criticized, we become blind to the opportunities in front of us.
<28>	Humihina ang ating pananalig sa sarili at nawawalan ng pagtitiwala na magpatuloy pa.	our self-esteem weakens and we lose faith to go on.
