<1>	Kim, ginapang si Vhong By Allan Diones	Kim, crawled on Vhong by Allan Diones
<2>	January 7, 2017	January 7, 2017
<3>	NAKAKATUWA ‘yung all-out support kay Vhong Navarro hindi lang ng mga kasamahan niya sa It’s Showtime kundi maging ng mga ibang artista ng ABS-CBN.	the all-out support for Vhong Navarro not only by his companions in It's Showtime but also the other artists in ABS-CBN is gladdening.
<4>	Well-loved at mara­ming kaibigan si Vhong sa bakuran ng Dos kaya suportado ng mga ito ang pelikula niyang Mang Kepweng Returns.	Vhong is well-loved and has many friends in Channel Two so his film Mang Kepweng Returns is supported by them.
<5>	For the love of Vhong ay pina-plug ng mga ito ang movie sa social media, na siguradong nakatu­long kaya balitang naka-P8.	for the love of Vhong they plug it on social media, which surely helped because reportedly it reached P8.
<6>	8M ang pelikula sa opening day nito nu’ng Miyerkules.	8M in the film's opening day on Wednesday.
<7>	Iba rin ang appeal ni Vhong lalo na sa mga kabataan dahil bentang-benta sa mga ito ang mga patawa niya sa Mang Kepweng Returns.	Vhong also has a different appeal especially to the youth because his antics in Mang Kepweng Retuns are really a hit with them.
<8>	Nang manood kami nito sa TriNoma ay ang lakas ng tawanan ng mga tsikiting sa audience at nagrereak sila sa mga pakuwela ni Vhong.	when we watched it in Trinoma the laughter of the kids in the audience is loud and they react to the antics of Vhong.
<9>	Patok ‘yung mahiwagang bandana na sinusuot ni Mang Keps kapag nanggagamot.	the magical bandana worn by Mang Keps when he heals is a hit.
<10>	Ang dami naming nakitang bagets na may suot ng polka dots na tela na nilalagay nila sa ulo nila ala Mang Kepweng.	we saw many young people wearing cloth with polka dots that they put on the head ala Mang Kepweng.
<11>	Dahil kay Vhong ay tila naging fashion statement ang bandana na ‘yon, na sa movie ay bongga ang magical at healing powers.	because of Vhong it seems like that bandana has become a fashion statement, which in the movie has fantastic magical and healing powers.
<12>	Hindi nagpa-sexy sa pelikula ang leading lady ni Vhong na si Kim Domingo, pero dahil nagmumura ang mga dibdib nito ay kusang lumalabas ang kaseksihan ng Kapuso star.	the leading lady of Vhong Kim Domingo was not portrayed sexily in the film, but because her chest is overflowing the sexiness of the Kapuso star appears voluntarily.
<13>	Laging nauudlot ang kanilang kissing scenes, pero may eksenang ginapang at pinatungan ni Kim si Vhong habang natutulog ito.	their kissing scenes are always halted, but there is a scene where Kim crawled on and topped Vhong while he was sleeping.
<14>	Hindi mo lalagyan ng malisya ang eksenang ‘yon dahil ‘may sapi’ si Kim at biglang nagbabago ang anyo nito habang nakapatong kay Vhong.	you will not place malice on that scene because Kim is 'possessed' and her appearance suddenly changes while she is on top of Vhong.
<15>	Pambata at pampa­milya ang pelikula kaya hindi ka malalaswaan sa pagkubabaw ni Kim kay Mang Keps.	the film is for children and families so you will not feel indecent about Kim topping Mang Keps.
<16>	Birthday wish ni Vhong na sana ay kumita ang pelikula niya, na mukhang ibinigay naman sa kanya.	Vhong's birthday wish is for his movie to earn, which seems like it will be given to him.
<17>	In fairness sa masipag at mabait na alaga ni D­irek Chito Roño, ang ganda ng pasok ng kanyang 2017 dahil ang dinig namin ay may sequel kaagad ang Mang Kepweng Returns.	in fairness the ward of Director Chito Roño is hardworking and kind, 2017 welcomed him beautifully because we heard Mang Kepweng returns already has a sequel.
<18>	Ang sabi ng producer nito na Cineko Productions, The Adventures of Mang Kepweng ang pamagat ng susunod na installment ng mo­vie remake.	the producer of Cineko Productions said, The Adventures of Mang Kepweng is the title of the next installment of the movie remake.
