<1>	BANTAY SALAKAY MAHIRAP na talaga ngayong magtiwala sa kapwa.	watch and attack. it is really difficult now to trust others.
<2>	Maging ang mga taong nakakasama mo ng mahabang panahon at halos ibigay mo na ang sarili mong pangkain para hindi sila magutom ay magagawa ka pa ring traydorin.	even the people that you have been in company for a long time and you have almost given your own food so that they will get hungry, could still make it to become a traitor against you.
<3>	Marami na tayong naranasang ganyan na kung saan kayang-kaya kang ipagkanulo ng sarili mong kaibigan dahil lamang sa kakaunting halaga ng salapi.	we have experienced a lot of that where you could be still put in harm by your own friends just because of the small amount of money.
<4>	Sa hirap nga naman ng buhay sa Pinas ay napakarami na sa atin ang nakalilimutan ang kahalagahan ng dangal kapag pera na ang pinag-uusapan.	in the dire difficulty of the life here in the Philippines, many of us have forgotten the importance of dignity when money comes to the discussion.
<5>	Ang hindi alam ng mga ito ay panandalian lamang ang mga ganitong uri ng diskarte.	what they have not known of, these types of tactics are only momentary.
<6>	Hindi maglalaon ay mabubuking din ang iyong style at tiyak na mawawalan na rin ng tiwala sa iyo ang mga taong maaaring makatulong sa iyo.	not later, your style will be exposed and surely, those people who can help you will lose their trust in you.
<7>	Ganyan na ganyan ang nangyari sa Art Gallery Philippines na nabiktima ng sarili nitong supervisor.	that is exactly what happened to the Art Gallery Philippines which was victimized by its own supervisor.
<8>	Mukhang nasilaw sa kakaunting salapi ang supervisor ng AGP na si Rita Orr at ngayon ay kailangan niya itong panagutan sa batas.	the supervisor of the AGP Rita Orr seemed to have been blinded with the glitter of small sum and now she needs to be accountable in law.
<9>	Kamakailan kasi ay pormal na siyang sinampahan ng kasong qualified theft ng Makati City Prosecutors’ Office.	recently, she was formally filed a case of qualified theft in Makati City Prosecutors' Office.
<10>	Ito ay batay na rin sa reklamo ng AGP na diumano’y itinakbo nito ang P250,000 na kabayaran para sa dalawang piraso ng likhang sining.	this is based on the complaint of the AGP that she has taken away the P250,000 payment for the two pieces of artworks.
<11>	Ayon sa reklamo ng AGP, si Orr na siyang tumatayong supervisor ng art gallery ay nakapagbenta ng dalawang likhang sining na nagkakahalaga ng P250,000 sa dalawang regular na kliyente nito noong September 16,2013 subalit sa halip na ibalik sa kaha ay ibinulsa umano nito ang naturang halaga.	according to the complaint of the AGP, Orr stood as the supervisor of the art gallery which sold two artworks which cost P250,000 from its two regular clients last September 16, 2013, but instead of returning it to the case, she put the said amount in her pocket.
<12>	Pagkatapos ng pangyayari ay bigla na lamang umanong nag-AWOL (Absent Without Leave) itong si Orr at binalewala nito ang pakiusap ng AGP management na ibalik nito ang kanyang itinakbong salapi.	after the incident, Orr suddenly made an AWOL (Absent without Leave) and disregarded the plead of the AGP management to return the money she has taken away.
<13>	Sa resolusyon ng Makati City Prosecutors’ Office sa pangunguna ni Makati City Chief Prosecutor Jorge G. Catalan, Jr., malinaw umano na nagkaroon ng “grave abuse of discretion” sa panig ni Orr kaya’t makatwiran lamang na sampahan ito ng kasong qualified theft.	in the resolution of the Makati City Prosecutors' Office led by Makati City Chief Prosecutor Jorge G. Catalan, Jr., it is clear that there has been a grave abuse of discretion on the side of Orr so it is justifiable to file a case on qualified theft.
<14>	Hanggang sa kasulukuyan ay pinaghahanap pa rin ng pulisya si Orr na nagtago matapos nitong isagawa ang krimen.	until the present time, the police is still searching for Orr who hid after she made the crime.
