<1>	Hey “Joe” Yasay!	hey "Joe" Yasay!
<2>	it sounds that ‘Yankee’ will be sent away today?!	it sounds that 'yankee' will be sent away today!
<3>	Posted by: Jerry Yap	posted by Jerry Yap
<4>	on February 13, 2017	on February 13, 2017
<5>	in Bulabugin	in disturbing
<6>	MUKHANG sasayaw sa bubog si Secretary Perfecto Yasay sa pagdinig na gagawin ng makapangyarihang Commission on Appointments (CA) sa 22 Pebrero para sa pagtatalaga sa kanya bilang kalihim ng Department of Foreign Affairs (DFA).	Secretary Perfecto Yasay seems to dance on shards in the hearing that will be conducted by the powerful Commission on Appointments (CA) on February 22 for his appointment as secretary of the Department of Foreign Affairs (DFA).
<7>	Isa sa mga gustong maklaro ng isang komite sa CA na kinabibilangan ni Sen. Panfilo Lacson ang isyu tungkol sa citizenship ng Kalihim.	a committee that Senator Panfilo Lacson belongs to wants to clarify one of the issues with the CA about the citizenship of the secretary.
<8>	Ayon kay Senador Ping, mayroong request ang House contingent na gusto nilang marinig mismo sa bibig ni Secretary Yasay na, “Hindi na ako American citizen pero sa isang panahon ay naging American citizen ako.”	according to Senator Ping, the House contingent has a request that they want to hear from the mouth of Secretary Yasay itself that, "I am not an American citizen but in one instance, I became an American citizen."
<9>	Naniniwala naman tayo sa kredebilidad ng mga kumukuwestiyon sa citizenship ni Secretary Yasay.	we believe in the credibility of those questioning the citizenship of Secretary Yasay.
<10>	At wala namang mawawala kung sasagutin niya nang totoo at pawang katotohanan ang mga tanong.	and nothing would be lost if he answers the questions with truth and nothing but the truth.
<11>	Hey Joe Yasay, the truth will set you free, so tell the truth!	hey Joe Yasay, the truth will set you free, so tell the truth!
<12>	‘Yun lang, hindi rin natin masisisi kung mayroon mang mga nagdududa sa sobrang ka-estriktohan ng CA sa kaso ni Secretary Yasay.	that's it, we can blame if there are doubting the severe strictness of the CA on Secretary Yasay's case.
<13>	Bakit parang gigil na gigil ang ilang taga-CA na malaglag sa confirmation ang Kalihim ng Department of Foreign Affairs (DFA)?	why does it seem that some CA are gritting to drop the confirmation of the Secretary of the Department of Foreign Affairs (DFA)?
<14>	Ngayon pa na malapit na ang buwan ng Mayo.	now that the month of May is closer.
<15>	Ibig sabihin, isang taon na ang nakalilipas matapos ang nakaraang eleksiyon…	it means, one year has passed since the past election.
<16>	And maybe, it’s another payback time for President Rodrigo “Digong” Duterte?	and perhaps, it's another payback time for President Rodrigo "Digong" Duterte?
<17>	Hindi ba’t noon pa man ay malakas na ang higing na gustong-gusto ng Pangulo na maitalaga sa DFA ang kanyang running mate na si Senator Alan Peter Cayetano?	isn't it that even in the past, there is a strong rumor that the President really wants to appoint his running mate Senator Alan Peter Cayetano to the DFA?
<18>	Hindi kaya, ang hearing sa 22 Pebrero ay araw ng pamamaalam ni Secretary Yasay sa DFA?!	isn't it, the hearing on February 22 is the day of farewell of Secretary Yasay at DFA?
<19>	Mabigat ang basehan para tuluyang ibasura ng CA ang kompirmasyon kay Secretary Yasay lalo kung aamin siya o mapapatunayan na siya pala ay isang American citizen.	the basis is heavy for the CA to finally dismiss the confirmation of Secretary Yasay especially when he admits or will be proven that he is an American citizen.
<20>	Napakasuwerteng tunay ni Senator Alan kapag nagkataon.	Senator Alan is genuinely fortunate by chance.
<21>	Ang tanong lang natin, gusto ba naman ni Senator Alan na maging DFA Secretary, gayong ang kanyang presidente ay masyadong ‘malikot’ mag-isip kung diplomatikong relasyon ng Filipinas sa ibang bansa ang pag-uusapan?!	our only question: does Senator Alan want to become a DFA Secretary when his president thinks naughtily on the diplomatic relationship of the Philippines to other countries is discussed?
<22>	Abangan natin ang mga susunod na kabanata, mga suki!	let us anticipate the next chapter, my usual buyers!
