<1>	MISS U BETS, PALIGAYAHIN NATIN	Miss U bets, let's make them happy!
<2>	NALIGAYAHAN nang husto ang mga kandidata ng Miss Universe nitong nagdaang linggo at lubos silang kinagigiliwan ng sambayanang Filipino.	candidates of Miss Universe were made completely happy this past week because they were absolutely admired by the Filipino people.
<3>	Kahit saang bumisita ang iba’t ibang grupo ng mga 65th Miss U contestant, sila’y masigabong sinasalubong ng madlang pipol, inaantay nang ilang oras para masilayan at makawayan.	wherever different groups of the 65th Miss U contestants visited, they were warmly welcomed by the people, waiting for several hours just to see and be waved at.
<4>	Halos maluha nga ang ilang kandidata nang makita ang mga bata at matatanda na nakaabang sa mga kalsada sa Caticlan, Boracay, Vigan City, Baguio City, Batangas at Davao City.	several candidates almost cried when they saw the children and elderly waiting on the streets in Caticlan, Boracay, Vigan City, Baguio City, Batangas and Davao City.
<5>	Kung bakit ba lubos ang kasiyahan natin kapag may mga bumibisita sa ating bayan at mga tahanan at ating inieestima, hinahainan at inaaliw.	why are we so happy when some visit our country and homes, and we accommodate, feed and entertain them?
<6>	“Yan ang bantog na Filipino hospitality na hinding-hindi makalilimutan at mami-miss ng mga Miss U pag-uwi nila sa kani-kanilang bansa,” sabi ni Undersecretary Kat de Castro ng Department of Tourism.	"that is the famous Filipino hospitality that can never be forgotten and will be missed by the Miss U candidates when they go home to their own countries," said Undersecretary Kat de Castro of the Department of Tourism.
<7>	Ano pa nga ba kundi ‘yang pag-aalay natin ng pakikipagkaibigan.	what else but our offer of friendship.
<8>	Iginagalang at hinahangaan natin ang 86 magaganda, matatalino at talentadong kabataang kababaihan na ito.	we respect and admire these 86 beautiful, smart and talented young women.
<9>	Taliwas ‘yan sa mga nginangawngaw ng ilang grupo na tinatrato raw na mga sex object ang mga beauty contestant.	that is contrary to what several groups are whining about, that beauty contestants are being treated like sex objects.
<10>	Aba’y kulang yata sa pansin ‘yang mga nagsasabi niyan na pati ang prestishiyosong beauty competition na pinanalo ng tatlong dakilang Pilipina ay pinupulitika.	well those who are saying that seem to be lacking in attention, that even a prestigious beauty competition won by three great Filipinas is being politicized.
<11>	Mabuti pang huwag na lang pansinin ang mga Kulang Sa Pansin na ‘yan.	it's good to just ignore those people who are lacking in attention.
<12>	Basta siguruhin natin na ligtas sa anomang kapahamakan ang ating mga panauhin at ialay sa kanila ang isang karanasan na hindi malilimutan magpakailan pa man.	let us just make sure that our guests are safe from any kind of harm and offer them an experience that they will never ever forget.
<13>	DEADSHOT/ERWIN TULFO	Deadshot / Erwin Tulfo
