<1>	DENI LAIFIKISHA SIMBA FIFA	debt takes Simba to FIFA
<2>	Charles Abel,Mwananchi cabel@mwananchi.co.tz	Charles Abel, Mwananchi cabel@mwananchi.co.tz
<3>	Dar es Salaam.	Dar es Salaam.
<4>	Majanga yanaendelea kuikumba klabu ya Simba baada ya Shirikisho la Soka la Kimataifa (Fifa) kuipiga faini ya Faranga 2,000 za Uswisi (Sh4,582,000) kwa kosa la kupuuza maagizo ya Idara ya Utatuzi wa Migogoro ya shirikisho hilo.	disasters continue to engulf Simba Club, after the Federation of International Football Association (FIFA) fined it 2,000 Swiss Francs (4,582,000 shillings) for ignoring the direction of the federation's Dispute Resolution Chamber.
<5>	Uamuzi huo wa Fifa unatokana na kamati ya idara hiyo iliyokutana Aprili 20, 2016 mjini Zurich, Uswisi kusikiliza malalamiko yaliyowasilishwa na beki wa zamani wa klabu hiyo, Donald Musoti, raia wa Kenya ambaye alivunjiwa mkataba wake msimu wa 2014/2015.	the FIFA decision comes from the committee of the Chamber, which met on April 20, 2016 in Zurich, Switzerland, to hear the complaints that were lodged by the club's former defender, Donald Musoti, a Kenyan citizen whose contract was cancelled in the 2014/2015 season.
<6>	Inaendelea Uk 38 Inatoka uk 40 Kutokana na faini hiyo, Simba inatakiwa kumlipa mchezaji huyo Sh 69.2 milioni, ikijumuisha gharama ya faini, Dola 29,250 kama gharama za kuvunja mkataba pamoja na Dola 600 (Sh 1,290,000) zilizobaki katika usajili wake.	continues from page 38 from page 40 from that fine, Simba is required to pay the player 69.2 million shillings, including the cost of the fine, 29, 250 dollars as the cost of cancelling the contract as, well as the 600 dollars (1,290,000 shillings) that remained at his signing.
<7>	Mwanasheria wa Musoti, Felix Majani, ambaye pia ni mmoja wa wanasheria wa Fifa, alifungua kesi katika shirikisho hilo kuwashtaki Simba kwa kukiuka makubaliano ya mkataba na mteja wake.	Musoti's lawyer, Felix Majani (who is also one of FIFA's lawyers), brought a case against Simba in the federation, accusing them of breaching the agreement they had with their client.
<8>	Kwa kosa hilo, Simba inatakiwa kulipa faini ya kiasi hicho cha fedha ndani ya siku 30 kuanzia tarehe ya kupokea barua hiyo ya Fifa ya Mei 3 iliyotua nchini jana.	for that mistake, Simba is required to pay the fine within 30 days of the day of receipt of the FIFA letter on May 3 which landed in the country yesterday.
<9>	TFF imepewa nakala na maagizo ya kuhakikisha Simba inalipa kiasi hicho cha fedha.	TFF has been given a copy of the letter as well as instructions to ensure that Simba pays the fine.
<10>	Katika barua hiyo, Simba imeamriwa kuhakikisha inalipa na isipofanya hivyo itakatwa pointi tatu katika mechi zake za Ligi Kuu Tanzania Bara Fifa, pia imeeleza kuwa ikiwa klabu hiyo kama haitalipa katika muda uliopangwa, yaani siku 30 kutoka sasa, Fifa itaishusha daraja kutoka Ligi Kuu hadi Ligi Daraja la Kwanza au chini yake.	according to the letter, three points will be deducted from Simba in the Tanzania Mainland Premier League matches if the club does not pay the fine. FIFA has also said that it will remove Simba from the Premier League and relegate it to the Division One League or lower if it does not pay the fine within the stipulated 30 days.
<11>	Kwa upande wake, TFF imeagizwa kuhakikisha uamuzi huo unasimamiwa vyema utekelezwaji wake, vinginevyo itachukuliwa hatua stahiki, ikiwamo kuiondoa Tanzania katika mashindano ya kimataifa.	TFF has been informed that appropriate action will be taken against TFF, including removal of Tanzania from international competitions, if the decision is not executed properly. 
<12>	Ofisa habari wa TFF, Alfred Lucas alisema jana kuwa shirikisho litahakikisha linasima mia kwa ukamilifu maagizo hayo ya Fifa kwani kinyume chake, rungu litawadondokea wao pia.	TFF's communications officer, Alfred Lucas, said that the federation will ensure that it obeys FIFA's instructions so that the hammer doesn't fall on them.
<13>	“TFF ni mwanachama wa Fifa, hivyo tunalazimika kutii jambo lolote ambalo shirikisho linatutaka tufanye.	"TFF is a member of FIFA, and thus we are forced to obey any action that the federation requires of us.
<14>	Wito wetu kwa Simba ni kuwa wamalizane naye huyo mchezaji kwa kumlipa fedha hizo anazodai, vinginevyo tutafanya kama Fifa ilivyoamuru,” alisema Lucas.	we call on Simba to deal with the player by paying him the money he is claiming, otherwise we will do as FIFA has ordered," said Lucas.
<15>	Naye ofisa habari wa Simba, Haji Manara alisema kuwa klabu hiyo itakutana na kutafuta ufumbuzi wa kulimaliza tatizo hilo kwa kumlipa Musoti.	Simba Communications Officer, Haji Manara, said that the club will meet to resolve the issue and pay Musoti.
<16>	“Kwa sasa sipo ofisini, ila uongozi utalitafutia ufumbuzi wa haraka ili tusikutane na adhabu hiyo.	"I am not in the office, at the moment, but the leadership will look for a quick solution so that we do not meet with that punishment.
<17>	Nadhani tutazilipa haraka,” alisema Manara.	I think we will pay it quickly," said Manara.
