<1>	Young si mdogo vile kati ya wanasoka watajika kwa mali	Young isn't that small among mentionable wealthy footballers.
<2>	ASHLEY Young, winga mjanja wa Manchester United aliyepatwa na jeraha juma lililopita, ni mmoja wa wanasoka matajari kupindukia katika ligi ya Uingereza.	Ashley Young, the clever Manchester United winger who had an injury last week, is one of the richest footballers in the English premier league.
<3>	Japo ameshtumia mara kwa A mara kwa tabia yake ya kujiangusha kwa lengo la kusaka penalti au frikiki, kitu kimoja ambacho hakipingiki ni kwamba Young ni mchezaji wa haiba kubwa.	although he has been accused several times of the habit of tripping himself with the aim of getting a penalty or free kick, the thing that cannot be opposed is that Young is a player of his own caliber.
<4>	KIPOCHI Ubora wake uwanjani ndio chanzo chake kikubwa cha yake ya esa zaidi a prokampuni kwenye uongeza bapo alakini almosheni kupoteza e umri Jamaica ke aliyea namaa huyu o ambao a, Lewis ord na hipukizi 2009-10.	Kipochi's excellence in the field is the main reason for him to move to a more pro company in the addition to Jamaica losing Lewis through age and youths of 2009-10.
<5>	abiki wa mfuasi iliyoiliita huku l.	abiki remains a follower iliyoiliita here l.
<6>	majaribio tford lasajiliwa.	the Tford test has been registered.
<7>	moyo na aribio ya kafaulu.	the heart and qualifying test.
<8>	ipachika wal kaya pili fanikiwa isho wa a kama hipukizi.	hang wal household the second person to succeed isho wa a like hipukizi.
<9>	yoivutia limsajili oni baaaji wake aka mikilizidi on Villa inne na nited wa Ferguson awishika mchukua.	the fascinating tournament of his successors on Villa Inne and Ferguson's nervous holder.
<10>	wachezaji Arsenal ani Old walASHLEY Young na mchumba wake Nicky Pike.	the Arsenal players Ashley Young and his fiancé Nicky Pike.
<11>	ipoitandika 8-2, Young akivurumisha magoli mawili maridadi kwa ustadi mkubwa.	beating it 8-2, with Young scoring two beautiful goals through a great tactic.
<12>	USAFARI Young hana tofauti na wanasoka wengine wa kisasa ambao mtindo ni kumiliki magari ya kifahari, zenye bei ya kutisha na kasi ya ajabu.	in tour, Young has no difference with other modern footballers who adore owning expensive and super fast luxurious cars.
<13>	Pesa anazolipwa zimemwezesha kumiliki mikoko aina aina ikiwemo Bentley Continetal (Sh18 milioni) inayokwenda kwa kasi ya kilomita 314 kwa saa.	the money he earns has let him own different kinds of automobiles including a Bentley Continental (18 million shillings) which travels at a speed of 314 kilometers per hour.
<14>	Ana aina nyingine Range Rover (Sh10 Milioni, Porshce Cayenne (Sh8 milioni kati ya nyinginezo.	he has another type of Range Rover (10 million shillings) and a Porsche Cayenne (8 million shillings) among others.
<15>	JUMBA Young anaishi na familia yake kwenye jumba la thamani ya Sh202 milioni.	residence: Young and his family live in a house worth 202 million shillings.
<16>	MAPENZI Unaweza kusema kuwa katika masuala ya kimapenzi, Young amekuwa mwaminifu wa mpenzi wake Nicky Pike ambaye walikutana enzi zao za utotoni mnamo 2001.	relationship: you can say that in matters of love, Young has been faithful to his lover Nicky Pike when they met in their childhood days in 2001.
<17>	Wamekuwa pamoja kwa miaka 14 sasa kwenyue uhusiano ambao wamefanikiwa kujaliwa watoto wawili Tyler aliyezaliwa miaka mitano baada yao kukutana na Ellearna aliyezaliwa 2009.	they have been together for 14 years now in a relationship which has been blessed with two children, Tyler, who was born five years after they met and Ellearna who was born in 2009.
<18>	Mnamo 2011, Young alifutilia mbali harusi yake na Nicky zikiwa zimesalia siku mbili sherehe hiyo ifanyike katika hoteli moja ya kifahari jijini Watford.	in 2011, Young called off his wedding with Nicky only two days before the ceremony which was to take place in a luxurious hotel in the Watford city.
<19>	Young alisitisha sherehe hiyo iliyokuwa igharimu kitita cha Sh28 milioni bila ya kutoa sababu zozote na kuwaacha wageni waalikwa wakimshangaa kwa tukio hilo.	Young halted the ceremony that would have cost 28 million shillings in cash without giving any reasons leaving the invited guests shocked by the action.
<20>	Hadi wa leo, Young hajawahi kuwazia kufunga pingu za maisha ingawaje wanaishi vyema na Pike.	until now, Young has never thought of a wedding although he is living well with Pike.
