<1>	(0.000-1.929)	<no-speech>	<no-speech>
<2>	(1.929-18.000)	naging matagumpay ang pagbubukas ng second conference ng mayor Ed Pamintuan sports festival twenty fifteen <breath> na kung saan pinangunahan mismo ng ating alkalde ang kick off ceremonies <int> nito na <sta> ginanap sa Systems Plus College Foundation .	the opening of the second conference of Mayor Ed Pamintuan Sports Festival twenty fifteen has been successful where our mayor himself has lead its kick off ceremonies held at the Systems Plus College Foundation .
<3>	(18.000-29.390)	<sta> mga selected clusters mula sa first conference ng nasabing sports festival ang mga naglaban-laban sa basketball <sta> girls volleyball at gays volleyball .	selected clusters from the first conference of the said sports festival are fighting each other in basketball girls volleyball and gays volleyball .
<4>	(29.390-44.020)	ayon kay mayor Ed Pamintuan kailangan mabigyan ng oportunidad ang ating mga kabataan na sumali sa mga aktibidades na kung saan maipapakita nila ang kanilang mga talento at isa na dito ay pagdating sa larangan ng sport .	according to Mayor Ed Pamintuan our youth needs to be given an opportunity to join in the activities where talents can be shown and one of these is in terms of the field of sports .
<5>	(44.020-86.311)	(()) <foreign> (()) <foreign> (()) ng mga kabataan (()) (()) <sta> ng mga kabataan at siyempre (()) <sta> ng mga kabataan (()) ayon naman sa ating city sports O_I_C Rossver Pascua napakalaki ng potential ng sports sa ating siyudad lalong-lalo na pagdating sa volleyball at basketball .	(()) <foreign> (()) <foreign> (()) of the youth (()) (()) of the youth and of course (()) of the youth (()) according to our city sports O_I_C Rossver Pascua there is a big potential on sports in our city especially in terms of volleyball and basketball .
<6>	(86.311-87.858)	actually malaki ang potential .	actually the potential is big .
<7>	(87.858-96.851)	if you could see some of the national <hes> <hes> universities in Manila most of their players come from Central Luzon .	if you could see some of the national universities in Manila most of their players come from Central Luzon .
<8>	(96.851-104.260)	<hes> i- -- in terms of volleyball no kita mo dalawa 'yan si Ara and then you have Benito (()) .	-- in terms of volleyball right you see two of them Ara and then you have Benito (()) .
<9>	(104.260-110.270)	then <hes> yung mga potential na basketball players natin sina Abueva produkto 'yan ng mga inter-barangay namin .	then those our potential basketball players who are Abueva those are products of our inter-barangay .
<10>	(110.270-123.120)	dagdag pa niya isa sa kaniyang mga visions ay magkaroon ng stable <int> source of funding para maituloy <sta> ang ganitong mga programa para sa ating mga kababayan lalong-lalo na sa mga kabataan .	he also added one of his visions is to have a stable source of funding to continue this kind of program for our fellowmen especially the youth .
<11>	(123.120-128.510)	sa huli binigyan ng certificate of appreciation ang lahat ng mga muse of Ed .	in the end all the muses of Ed are given certificate of appreciation .
<12>	(128.510-135.720)	kinilala rin ang Puregold at ang Systems <sta> Plus College Foundation para sa sponsorship ng nasabing programa .	Puregold and the Systems Plus College Foundation are also acknowledged for the sponsorship of the said program .
<13>	(135.720-137.618)	ito po si Gloria Antomin para ~ %incomplete	this is Gloria Antomin for %incomplete
