<1>	Marwan kumpirmadong napatay sa Mamasapano ayon sa FBI	Marwan confirmed to be killed in Mamasapano according to the FBI
<2>	April 2, 2015	April 2, 2015
<3>	Kinumpirma na ng Federal Bureau of Investigation (FBI) na patay na ang teroristang si Zulkifli bin Hir alyas Marwan.	the Federal Bureau of Investigation (FBI) has confirmed that the terrorist Zulkifli bin Hir alias Marwan is already dead.
<4>	Ang kumpirmasyon ng FBI ay inilabas mahigit dalawang buwan matapos ang madugong Mamasapano encounter na ikinamatay din ng 44 na miyembro ng PNP-Special Action Force, mga miyembro ng Moro Islamic Liberation Front (MILF) at mga sibilyan sa Mamasapano, Maguindanao noong Enero 25.	the confirmation of the FBI was released more than two months after the bloody Mamasapano encounter that also caused the death of 44 members of the PNP-Special Action Force, members of the Moro Islamic Liberation Front (MILF) and civilians of Mamasapano, Maguindanao on January 25.
<5>	Sa ulat ng Reuters, nakumpirma ang pagkasawi ni Marwan sa operasyon ng SAF dahil sa DNA test na ginawa sa pinutol na daliri nito.	in the report of Reuters, the death of Marwan in the SAF operation was confirmed because of the DNA test done on his amputated finger.
<6>	Ang daliri ni Marwan ay idinala sa Estados Unidos ay doon ito sinuri ng FBI kung saan tumugma ang DNA nito sa DNA ng kanyang kapatid.	the finger of Marwan was brought to the United States and there examined by the FBI wherein its DNA matched the DNA of his sibling.
<7>	Sa pahayag ni David Bowdich, assistant director in charge ng FBI Los Angeles Field office sinabi nito na binura na nila sa listahan ang Most Wanted Terrorist si Marwan matapos itong mapatay.	in the statement of David Bowdich, assistant director in charge of FBI Los Angeles Field office he said they have erased Marwan from the list of most wanted terrorists after he was killed.
<8>	Binati rin ng FBI ang PNP kasunod ng pagkakapatay nito sa nasabing terorista.	the FBI also congratulated the PNP after their killing of the said terrorist.
<9>	Muli ring nagpaabot ng pakikiramay ang FBI sa pambansang pulisya dahil sa pagkasawi ng SAF 44 matapos ang operasyon laban kay Marwan.	the FBI again offered condolences to the national police because of the death of SAF 44 after the operation against Marwan.
<10>	“Once again, the men and women of the FBI express sincere condolences to the brave officers of the Special Action Force who lost their lives while attempting to apprehend this dangerous fugitive,” pahayag pa ni Bowdich.	"Once again, the men and women of the FBI express sincere condolences to the brave officers of the Special Action Force who lost their lives while attempting to apprehend this dangerous fugitive," Bowdich even stated.
<11>	Napatay sa nasabing operasyon ang 44 na SAF commandos matapos nitong makasagupa ang mga miyembro ng MILF, Bangsamoro Islamic Freedom Fighters, at mga miyembro ng private armed groups sa Maguindanao. -DCR	killed in the said operation are 44 SAF commandos after they encountered the members of the MILF, Bangsamoro Islamic Freedom Fighters, and members of private armed groups in Maguindanao. -DCR
