<1>	Mwanamke akamatwa akiuza mabinti watano	woman arrested for selling five girls
<2>	Imeandikwa na Ahmed Makongo, Bunda	written by Ahmed Makongo, Bunda
<3>	Imechapishwa: 07 Septemba 2016	published: September 07, 2016
<4>	JESHI la Polisi katika Mkoa wa Mara linamshikilia Juritha Lucas (60), mkazi wa Kijiji cha Masinki Wilaya ya Serengeti mkoani humo, kwa tuhuma ya kufanya biashara haramu ya kuuza binadamu kinyume cha sheria.	the police force in Mara province is holding Juritha Lucas (60), a resident of Masinki village in the Serengeti district in that province, on suspicion of conducting the illegal business of human trafficking.
<5>	Kamanda wa Polisi mkoani Mara, Kamishina Msaidizi Mwandamizi wa Polisi Ramadhani Ng'anzi, aliliambia gazeti hili kwa njia ya simu kutoka mjini Musoma jana kuwa, mwanamke huyo alikamatwa na polisi akiwa na mabinti watano wenye umri kati ya miaka 15 na 23 aliokuwa anataka kuwauza.	the Mara provincial Police Commander, Senior Assistant Police Commissioner Ramadhani Ng'anzi, told this paper yesterday over a phone call from Musoma town that the woman was arrested by the police when she had five girls aged between 15 and 23 whom she wanted to sell.
<6>	Kamanda Ng'anzi alisema mabinti hao ni wakazi wa kijiji cha Muruvyagiza, Wilaya ya Ngara mkoani Kagera, ambako ndiko mwanamke huyo aliwatoa na kuwasafirisha hadi katika kijiji cha Masinki wilayani Serengeti, kwa nia ya kuwauza kwa kuwaozesha kwa wanaume kwa bei kati ya Sh 150,000 hadi Sh 300,000 kila mmoja, kulingana na umri, uzuri na tabia ya binti husika.	Commander Ng'anzi said the girls are residents of Muruvyagiza village in Ngara district in Kagera province, from where the woman took them and transported them to the Masinki village in Serengeti district, with the intention of selling them by marrying them off to men at a price of between 150,000 to 300,000 shillings each, depending on the age, beauty and behavior of the girl.
<7>	Polisi walipata taarifa kutoka kwa raia wema kuhusu biashara hiyo, waliweka mtego na ndipo Septemba 4, mwaka huu, walimkamata mwanamke huyo na kumhoji na akakiri kuwachukua mabinti hao kutoka mkoani Kagera kwa ajili ya kuwauza.	the police received a report from well-meaning citizens about the business, set up a trap on September 4 this year, arrested the woman and interrogated her, and she admitted to taking the girls from Kagera province for the purpose of selling them.
<8>	Jitihada zinafanyika ili kuwasiliana na wazazi wa mabinti hao ili kuwachukua.	efforts are being made to communicate with the girls' parents to take them back.
<9>	Kamanda Ng'anzi hakuwataja majina kwa sababu za kiusalama zaidi, lakini alisema wanaendelea na uchunguzi wa kina na kuwa baada ya upelelezi kukamilika, watamfikisha mahakamani kujibu tuhuma ya kufanya biashara ya binadamu kinyume cha sheria.	Commander Ng'anzi did not mention their names for safety reasons but said they are continuing thorough investigations and that after the investigations are done, they will arraign her in court on suspicion of conducting illegal business.
<10>	Katika tukio jingine, polisi mkoani hapa, kwa kushirikiana na Kikosi cha Kuzuia Ujangili (KDU), wamewakamata watu wawili, Godfrey James (39), mkazi wa Chalinze mkoani Pwani na Adeus Evarist (34) mkazi wa Mwanza, wakiwa na nyara za serikali kinyume cha sheria.	in another incident, police in the province, in conjunction with the anti-poaching unit (KDU), have arrested two people, Godfrey James (39), a resident of Chalinze in Pwani Province and Adeus Evarist (34), a resident of Mwanza, for possession of illegal national game trophies.
<11>	Walikamatwa juzi katika Kijiji cha Hunyari wilayani Bunda wakiwa na vipande vitatu vya meno ya tembo vyenye uzito wa kilogramu 15 ambavyo vina thamani ya zaidi ya Sh milioni 18.	they were arrested two days ago in Hunyari village in Bunda district with two pieces of elephant tusks weighing 15 kilograms which are worth more than 18 million shillings.
