<1>	NSSF cha mtoto kwa TTCL	NSSF for the child at TTCL
<2>	Imeandikwa na Lucy Lyatuu	written by Lucy Lyatuu
<3>	Imechapishwa: 07 Novemba 2016	published: 07 November 2016
<4>	TIMU ya soka ya Kampuni ya Simu Tanzania (TTCL) imeendelea kutoa ‘adhabu’ kwa timu zinazoshiriki mashindano ya taasisi za umma, baada ya kuwachapa wa Mfuko wa Hifadhi ya Jamii (NSSF) mabao 2-1 na kushika usukani wa Kundi B kwa kufikisha pointi tisa.	Tanzania Telecommunication Company's team (TTCL) has continued to 'thrash' teams participating in the competition for public institutions, after defeating the National Social Security Fund's team (NSSF) 2-1 to take the lead of group B by attaining nine points.
<5>	Michezo hiyo inachezwa kila mwisho wa wiki katika viwanja vya TPDC, Mikocheni jijini Dar es Salaam.	these games are played every weekend at the TPDC grounds, Mikocheni, in Dar es Salaam.
<6>	Mchezo huo kati ya TTCL na NSSF ulishuhudiwa pia Kaimu Ofisa Mtendaji Mkuu wa TTCL, Waziri Kindamba aliyefika katika viwanja hivyo ili kuongeza nguvu kwa vijana wake wa TTCL.	the match between TTCL and NSSF was also witnessed by TTCL's Acting Chief Executive Officer, Minister Kindamba, who was at the grounds to psych up his TTCL players.
<7>	Hata hivyo, mchezo ulikuwa mkali kwa pande zote mbili, huku wakishambuliana kwa zamu, mpaka kipindi cha kwanza kinakamilika timu zote zilikuwa hazijafungana.	nevertheless, the match was played fiercely on both sides, as they attacked each other in turns until the first half was over in a goalless draw for the teams.
<8>	Aidha, kipindi cha pili kilianza kwa kasi kwa pande zote mbili na mabao ya TTCL yalifungwa na Peter Ntwala na Raphael Ntila, huku bao la kufutia machozi la NSSF lilifungwa na Iddi Rajibu.	furthermore, the second half started with a high pace on both sides, and TTCL's goals were scored by Peter Ntwala and Raphael Ntila, while NSSF's consolation goal was scored by Iddi Rajibu.
<9>	Nahodha wa TTCL, Samuel Uwiso na kocha Julius Kilenga walisema kuwa siri ya ushindi unatokana na juhudi za wachezaji kuzingatia mazoezi na maelekezo kutoka kwa viongozi wao.	TTLC's captain, Samuel Uwiso, and coach, Julius Kilenga, said that the secret of success emanates from efforts by players to focus on training and guidance from their leaders.
<10>	Kindamba aliwapongeza wachezaji wa TTCL kwa kazi nzuri waliyoifanya kwa kuongoza kundi B, na kuwasihi wasibweteke na matokeo hayo bali iwe chachu ya kujiandaa na michezo mingine.	Kindamba congratulated TTCL's players for their good work in leading group B, and urged them not to be complacent with the results, but for it to be an impetus for their preparation for the other matches.
<11>	Timu ya TTCL inaongoza katika kundi B, ikifuatiwa na Benki Kuu ya Tanzania (BoT), Shirika la Hifadhi ya Jamii (NSSF), Mamlaka ya Mapato Tanzania (TRA) na Ofisi ya Mkaguzi Mkuu wa Serikali (NAOT).	TTCL's team is leading in group B, followed by Bank of Tanzania (BoT), National Social Security Fund (NSSF), Tanzania Revenue Authority (TRA) and the National Audit of Tanzania (NAOT).
