query1340	court law
MATERIAL_BASE-1A_15451912	0.357
MATERIAL_BASE-1A_33280688	0.077
MATERIAL_BASE-1A_46337253	0.061
MATERIAL_BASE-1A_28222779	0.043
MATERIAL_BASE-1A_47237540	0.040
MATERIAL_BASE-1A_65421814	0.038
MATERIAL_BASE-1A_59997334	0.038
MATERIAL_BASE-1A_66896248	0.037
MATERIAL_BASE-1A_46131205	0.031
MATERIAL_BASE-1A_21137952	0.031
MATERIAL_BASE-1A_37092357	0.031
MATERIAL_BASE-1A_50322071	0.027
MATERIAL_BASE-1A_19906241	0.027
MATERIAL_BASE-1A_30660622	0.025
MATERIAL_BASE-1A_91273579	0.024
MATERIAL_BASE-1A_82917269	0.024
MATERIAL_BASE-1A_57086308	0.023
MATERIAL_BASE-1A_18770887	0.023
MATERIAL_BASE-1A_26070053	0.022
MATERIAL_BASE-1A_15762829	0.021
