query4047	emotion mental state forgiveness pardon
MATERIAL_BASE-1A_89640844	0.092
MATERIAL_BASE-1A_55190800	0.074
MATERIAL_BASE-1A_85018500	0.061
MATERIAL_BASE-1A_52947774	0.061
MATERIAL_BASE-1A_49752243	0.060
MATERIAL_BASE-1A_90699367	0.046
MATERIAL_BASE-1A_99082541	0.046
MATERIAL_BASE-1A_76423086	0.045
MATERIAL_BASE-1A_74271653	0.045
MATERIAL_BASE-1A_36274860	0.044
MATERIAL_BASE-1A_23568883	0.044
MATERIAL_BASE-1A_33341861	0.043
MATERIAL_BASE-1A_60911133	0.043
MATERIAL_BASE-1A_99423388	0.043
MATERIAL_BASE-1A_15451912	0.043
MATERIAL_BASE-1A_63198962	0.043
MATERIAL_BASE-1A_52213425	0.042
MATERIAL_BASE-1A_46337253	0.042
MATERIAL_BASE-1A_99590356	0.042
MATERIAL_BASE-1A_15407245	0.042
