query_id	query_string	domain_id
query1004	investment,incentive	GOV
query1005	travel,plan	MIL
query1008	Marawi,injury+	MIL
query101	sabotage,police	GOV
query1015	current[syn:present time],issue[syn:problem]	HEA
query1017	Catanduanes,paralysis+	MIL
query102	anti-Communist	GOV
query1022	sales,commodity	LIF
query1026	Tondo,drunkenness+	LIF
query1039	Brunei,"territorial dispute"+	GOV
query104	pinakbet,EXAMPLE_OF(vegetable)	LIF
query1041	"new map"	GOV
query1045	"cordon sanitaire"	GOV
query1046	Nasugbu,"security guard"	MIL
query1049	"steering wheel"	LIF
query105	"cooking with ginger"+	LIF
query106	nephew[syn:niece]	GOV
query1062	"free[evf:cost] eyeglasses"	HEA
query1074	follow,step[evf:stairs]	HEA
query108	drinking,alcohol	GOV
query1091	"Makati mayor",clothes+	GOV
query110	"black cat"	LIF
query1104	Thailand,royalty+	GOV
query1107	Bontoc,"labor strike"+	GOV
query1110	Jolo,weapon+	MIL
query1111	Negros,poverty+	MIL
query1115	"coup d'etat",EXAMPLE_OF(clothes)	GOV
query1116	Asing	GOV
query1118	annatto	LIF
query1120	caffeine,EXAMPLE_OF(vegetable)	HEA
query1121	estrogen,EXAMPLE_OF(beverage)	HEA
query1127	"easily tired"	HEA
query1132	Ebola,"bodily fluids"+	HEA
query1133	cat,"population control"+	HEA
query1135	lung,"medical test"+	HEA
query1148	stupendous	LIF
query1159	Chinese,syndicate	GOV
query1160	garlic,smuggling+	GOV
query1161	smuggling+	MIL
query1181	policy+,consensus	MIL
query1191	"died yesterday"	MIL
query1197	"coconut <trees>"	LIF
query120	salary+,tax	GOV
query1200	"remove the lung"	HEA
query1203	announce,praise	LIF
query1215	potato,"stir frying"+	LIF
query1216	professionalism	MIL
query122	"laundry soap"	GOV
query1221	EXAMPLE_OF(berries)[hyp:fruit]	LIF
query1234	cigarette+,vice[syn:bad habit]	HEA
query1245	candidate	LIF
query1251	"tomorrow is a mystery"	LIF
query1258	twin,warship	MIL
query1259	puppet,warship+	MIL
query1265	"first class"	LIF
query1266	eyes+,crimson[hyp:color]	HEA
query1270	campaign+,enthusiastic	HEA
query1275	Tandag,drunkenness+	MIL
query1277	arrest+[syn:incarcerate],gratuity	MIL
query1279	Bayugan,"human rights violation"+	GOV
query128	"new leader"	MIL
query1281	Comelec,citizen	GOV
query1282	patience,compassion	MIL
query1284	virtue	MIL
query1286	amazing,grace	LIF
query129	"picket line"	MIL
query1293	"eloquent speaker"	MIL
query1297	current[syn:present time],trend	LIF
query1304	vacation	HEA
query1305	"special occasion"	LIF
query131	hospital,EXAMPLE_OF(digits of the hand)	LIF
query1313	spicy,"coconut milk"	LIF
query1317	color,body[evf:anatomy]	LIF
query1363	"remains of the former president"	GOV
query1364	"indigenous music"	LIF
query1372	"new society"	GOV
query1374	"English musician"	LIF
query138	"Mangyan word"	GOV
query1382	"I am still single"	LIF
query1390	pumpkin,"bottle gourd"	LIF
query1393	"their plan"	MIL
query140	butterfly,"political party"	GOV
query1400	people+,unity	HEA
query1401	"citizen rights"+,discretion	MIL
query1420	wall+,demolish	HEA
query1426	youth+,role	HEA
query1429	mention+,article	MIL
query1437	victory,project	HEA
query1438	Kuwait,target	LIF
query1439	adequate,condition	LIF
query1446	breeze	LIF
query1450	snore	LIF
query1453	"I laughed"	LIF
query1456	coffee,antibiotic	HEA
query1466	Taiwan,"civil war"	MIL
query1474	piracy+	GOV
query1477	"private funeral"	LIF
query149	Okinawa	MIL
query1518	Chinese,"canceled passport"+	GOV
query1560	Ridon,corruption+	GOV
query1566	hemorrhage+	HEA
query1575	"where are the police"	MIL
query1585	Lapu-Lapu	LIF
query1588	when,twin	LIF
query1593	"weak knee"	LIF
query1609	Corazon,evacuation+	MIL
query1610	economy,lazy	MIL
query1615	"striking with a bayonet"+	LIF
query1642	discover	MIL
query1646	encounter,motorist	MIL
query1649	beneficiary	MIL
query1656	billion,police	MIL
query1657	fire[syn:burn],incident	MIL
query166	"sixth grade"	GOV
query1673	secretary,role	GOV
query1677	governess,spouse	LIF
query1701	"one of the richest"	LIF
query1703	"monosodium glutamate"+	LIF
query1704	experience	MIL
query1735	"teenage pregnancy"	HEA
query1741	prayer,president	LIF
query1750	generosity,language	LIF
query1761	voluntary,blood	LIF
query1774	obligation	HEA
query1775	vaccination+,dog	HEA
query1776	percentage,vase	HEA
query1793	tofu	HEA
query1794	inflammation	HEA
query1803	pregnant[evf:childbearing],doctor	HEA
query1805	provincial,fund	GOV
query1825	mussel	HEA
query1832	"population growth"	HEA
query1836	"nutrition program"	HEA
query1841	executioner	MIL
query1855	compare,meanwhile	HEA
query1860	chemical	HEA
query1872	automatic	HEA
query1880	"second term"	GOV
query1881	palace,session	GOV
query1892	credibility,confirmation[syn:authentication]	GOV
query1907	"Philippine government"+,ambassador	MIL
query1912	needle[hyp:sharp object]	LIF
query1920	camouflage	MIL
query1952	forget[evf:memory],past[syn:previous]	HEA
query2042	fish[hyp:animal],tasty	LIF
query2048	insurance,company	GOV
query2058	"food warnings"+,shrimp	HEA
query2070	soul	MIL
query2072	gun,"another country"	MIL
query2074	"grenade launchers"	MIL
query2077	shark	MIL
query2088	carrot	HEA
query2093	bra	HEA
query2095	"animal hair"	HEA
query2099	Marawi	MIL
query2105	"coconut milk"	HEA
query2110	menstruate	HEA
query2112	"Yellow Sea"	MIL
query2116	button	MIL
query2126	antibody	HEA
query2160	magazine	MIL
query2165	"Middle East",employment+	MIL
query2169	"our website"	MIL
query2171	deer	MIL
query2175	"death from pneumonia"	HEA
query2177	"power failure"+	LIF
query2178	"disease in Thailand"+	HEA
query2181	colon,sickness+	HEA
query2183	"animal research"+	HEA
query2185	malaria+	HEA
query2186	"stinky feet"	HEA
query2187	"diabetic amputation"+	HEA
query2188	"flag burning"+	MIL
query2190	"skin whitening"+	LIF
query2204	"fishing vessel"+	MIL
query2206	"livelihood assistance"	MIL
query2211	"AFP spokesperson"	MIL
query2236	vomit	HEA
query2238	dry,air[syn:wind]	HEA
query2293	infertility[syn:inability to conceive]	HEA
query2295	"Mountain Province"	GOV
query2345	cat[evf:domesticated animal]	MIL
query2551	<sang>	LIF
query2554	"happy <songs>"	LIF
query2558	"<vomited> blood"	GOV
query2599	"coconut industry"	HEA
query2635	"finger amputation"+,DNA	MIL
query2671	"poisoning in Zamboanga"+	HEA
query2688	tumor	HEA
query2697	"uric acid"	HEA
query2699	"calcium deficiency"+	HEA
query2701	"brown rice"	HEA
query2702	niacin	HEA
query2703	Estrada	MIL
query2708	okra	HEA
query2719	terminology	MIL
query2812	"milk death"+	HEA
query2882	encephalitis	HEA
query2892	"seventy-five billion"[hyp:cardinal number]	MIL
query2894	blister	HEA
query2913	"night sweats"	HEA
query2914	uniform	HEA
query2915	Liberia	HEA
query2917	Sahiron	MIL
query2962	"your favorite"	HEA
query2979	"former governor"	GOV
query2998	Mamasapano,<admitted>	MIL
query3000	"accepting bribes"+	MIL
query3067	spit[syn:sputum]	HEA
query3085	"our brain"	HEA
query3088	Dolphy	HEA
query3089	<neurons>	HEA
query3091	"neurological disorder"	HEA
query3092	"my head"	HEA
query3093	hazing	HEA
query3094	Abdul	MIL
query3103	Karuhatan	GOV
query3130	"Asian talent"	MIL
query3197	Mamasapano,EXAMPLE_OF(metal)	MIL
query3198	blood,EXAMPLE_OF(metal)	HEA
query3199	wife,EXAMPLE_OF(color)	HEA
query320	ARMM,help	GOV
query3203	EXAMPLE_OF(footwear)	GOV
query3204	EXAMPLE_OF(rootcrop)	HEA
query321	Mindanao,electricity	GOV
query3255	"colonial mentality"	GOV
query326	"right to vote"	MIL
query329	guerilla	MIL
query331	tree	LIF
query335	"Central Luzon"	GOV
query3421	"when is your birthday"	HEA
query3453	deboning+	LIF
query3455	"boiled bananas"+	LIF
query3457	"selling sweet potato tops"+	LIF
query3458	"growing cassava"+	GOV
query349	"cigarette tax"	GOV
query3499	"Bangsamoro Basic Law"	MIL
